Date,Open,High,Low,Close,Adj Close,Volume
2018-06-01,47.080002,48.669998,42.570000,44.060001,40.421070,468930400
2018-07-01,43.959999,49.169998,43.770000,47.680000,43.742092,424287700
2018-08-01,47.910000,49.700001,46.630001,48.580002,44.742584,310534600
2018-09-01,48.360001,52.110001,47.330002,51.560001,47.487179,423450600
2018-10-01,51.220001,51.990002,46.340000,48.840000,44.982044,444353400
2018-11-01,48.959999,51.450001,46.790001,48.759998,45.089169,371551400
2018-12-01,49.439999,50.220001,42.400002,45.150002,41.750946,539063900
2019-01-01,44.480000,50.500000,44.410000,50.230000,46.448505,324808100
2019-02-01,50.520000,53.029999,49.820000,52.130001,48.396324,257843100
2019-03-01,52.500000,54.380001,51.000000,53.709999,49.863152,370697000
2019-04-01,53.880001,55.529999,53.330002,55.330002,51.367130,193506500
2019-05-01,55.320000,55.419998,50.509998,50.599998,47.186279,240092700
2019-06-01,50.560001,57.470001,49.889999,56.970001,53.126534,417219900
2019-07-01,57.150002,60.500000,55.619999,56.299999,52.501728,251453400
2019-08-01,56.299999,56.849998,51.250000,52.060001,48.744301,225539800
2019-09-01,51.939999,56.290001,51.549999,55.029999,51.525143,333772600
2019-10-01,55.040001,57.330002,52.680000,54.490002,51.019543,250748900
2019-11-01,54.810001,57.060001,54.549999,56.139999,52.798889,157205300
2019-12-01,56.230000,56.660000,52.549999,52.980000,49.826958,263181500
2020-01-01,53.270000,55.689999,52.279999,52.450001,49.328503,201231600
2020-02-01,52.730000,55.889999,47.900002,49.459999,46.723492,193548200
2020-03-01,49.730000,51.840000,39.709999,48.330002,45.656013,500026300
2020-04-01,46.549999,54.720001,46.040001,52.970001,50.039288,261549600
2020-05-01,52.380001,54.150002,50.860001,53.770000,51.036331,213866500
2020-06-01,53.279999,55.970001,50.910000,55.270000,52.460075,336706700
2020-07-01,54.689999,57.840000,54.330002,55.450001,52.630920,274222800
2020-08-01,55.779999,58.450001,53.660000,57.220001,54.540543,217958300
2020-09-01,57.369999,62.599998,54.869999,59.700001,56.904411,426654300
2020-10-01,60.169998,61.830002,55.139999,56.110001,53.482521,209801500
2020-11-01,56.439999,59.080002,55.560001,57.720001,55.239902,187060500
2020-12-01,58.200001,66.199997,58.009998,64.690002,61.910416,291078500
2021-01-01,64.690002,64.699997,59.740002,60.430000,57.833469,173094700
2021-02-01,60.919998,66.360001,60.740002,64.510002,61.974396,203018100
2021-03-01,64.949997,73.620003,64.769997,70.169998,67.411919,385408900
2021-04-01,70.459999,80.209999,70.330002,75.790001,72.811028,274747400
